                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1316,                 4.4024,                 1.0977,                0.05879,                0.06518,                0.06286,                0.05285,                0.92663,                 4.5298,                0.97841,                0.00011,                0.00011,                0.00011
                      2,                  1.014,                 3.6446,                  1.046,                0.71221,                0.13432,                0.17843,                0.14751,                0.93269,                 3.9396,                0.94147,             0.00021758,             0.00021758,             0.00021758
                      3,                 1.0166,                 2.7789,                 1.0378,                0.89885,                0.16015,                0.36485,                 0.2945,                0.97516,                   3.28,                0.96951,             0.00031756,             0.00031756,             0.00031756
                      4,                0.98967,                 2.2882,                 1.0297,                0.61891,                0.30252,                0.49754,                 0.3919,                 0.9148,                  2.624,                0.97309,             0.00040995,             0.00040995,             0.00040995
                      5,                0.92062,                 1.9156,                 1.0281,                 0.6205,                0.52946,                0.62706,                0.47742,                 0.8726,                 2.1781,                0.94304,               0.000434,               0.000434,               0.000434
                      6,                0.87363,                 1.7233,                0.98674,                0.69845,                 0.6964,                0.78283,                0.61044,                0.85681,                 1.7568,                0.95806,              0.0004175,              0.0004175,              0.0004175
                      7,                0.88908,                   1.56,                 1.0156,                0.78685,                0.71496,                0.83368,                0.62593,                0.86623,                 1.6227,                0.96528,               0.000401,               0.000401,               0.000401
                      8,                0.84369,                 1.4126,                0.98448,                0.83719,                 0.8992,                0.93304,                0.70051,                0.83003,                 1.3473,                0.92415,              0.0003845,              0.0003845,              0.0003845
                      9,                0.89357,                 1.3801,                0.99414,                0.85958,                 0.8588,                0.93822,                0.72097,                0.81093,                 1.3191,                0.93346,               0.000368,               0.000368,               0.000368
                     10,                0.83265,                 1.2289,                0.97571,                0.86754,                0.86681,                0.93192,                0.70468,                0.84772,                 1.2813,                0.93331,              0.0003515,              0.0003515,              0.0003515
                     11,                0.82992,                 1.2164,                0.98523,                0.90235,                0.88709,                0.95865,                0.75933,                0.73793,                 1.2013,                0.89228,               0.000335,               0.000335,               0.000335
                     12,                0.77343,                 1.1232,                0.95358,                0.95188,                0.87514,                0.96257,                0.76465,                 0.7292,                 1.1006,                0.89492,              0.0003185,              0.0003185,              0.0003185
                     13,                0.83197,                 1.1391,                0.96434,                0.88891,                0.96215,                0.96911,                 0.7451,                0.80201,                 1.0568,                0.91363,               0.000302,               0.000302,               0.000302
                     14,                0.76856,                  1.068,                0.95607,                0.91993,                0.95223,                0.97327,                0.77027,                 0.7086,                  1.017,                 0.8838,              0.0002855,              0.0002855,              0.0002855
                     15,                0.73487,                 1.0102,                0.93172,                0.96533,                0.94683,                 0.9866,                0.79813,                0.68537,                0.98178,                0.88028,               0.000269,               0.000269,               0.000269
                     16,                0.74136,                 1.0001,                  0.946,                0.93429,                0.91528,                0.97715,                0.77731,                0.74279,                 1.0529,                0.89399,              0.0002525,              0.0002525,              0.0002525
                     17,                0.73402,                0.98965,                 0.9285,                0.97189,                0.94801,                0.98921,                0.80418,                0.66512,                0.94953,                0.87984,               0.000236,               0.000236,               0.000236
                     18,                0.72402,                0.96302,                0.93511,                0.94638,                0.96781,                0.98788,                0.79536,                0.70438,                0.95253,                0.87514,              0.0002195,              0.0002195,              0.0002195
                     19,                0.68869,                0.94469,                0.92779,                0.95997,                0.98034,                0.99265,                0.81862,                0.62189,                 0.8963,                0.85864,               0.000203,               0.000203,               0.000203
                     20,                0.69667,                0.94367,                0.91937,                0.97792,                 0.9883,                0.99212,                0.81141,                0.64344,                 0.8688,                0.86241,              0.0001865,              0.0001865,              0.0001865
                     21,                0.69815,                  1.127,                0.88457,                0.97282,                0.96853,                0.99258,                0.80932,                0.65543,                0.93537,                0.85812,                0.00017,                0.00017,                0.00017
                     22,                0.66062,                 1.0985,                0.87807,                0.97528,                0.99207,                0.99325,                0.81939,                0.65104,                0.85198,                0.86453,              0.0001535,              0.0001535,              0.0001535
                     23,                0.67567,                 1.0286,                0.87404,                0.98086,                0.99035,                0.99354,                0.83646,                0.58092,                0.86695,                0.84158,               0.000137,               0.000137,               0.000137
                     24,                0.65883,                 1.0155,                0.86326,                0.97071,                0.98999,                 0.9935,                0.82847,                0.61065,                0.81957,                0.84638,              0.0001205,              0.0001205,              0.0001205
                     25,                0.63182,                0.99963,                0.86413,                0.97482,                0.98994,                0.99392,                0.83115,                0.57785,                0.80483,                0.84242,               0.000104,               0.000104,               0.000104
                     26,                0.60011,                0.98896,                0.85455,                0.98246,                0.98627,                0.99362,                 0.8418,                 0.5826,                0.78547,                0.84492,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                0.58035,                0.97669,                0.85372,                0.97918,                 0.9949,                0.99357,                0.83439,                0.57428,                0.77661,                0.83741,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                  0.591,                0.95744,                0.83824,                0.98676,                0.98908,                0.99387,                 0.8389,                0.56163,                0.76929,                0.83568,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                0.57736,                0.93967,                0.84891,                0.98573,                0.98545,                0.99398,                  0.845,                0.55082,                0.76315,                0.83399,                3.8e-05,                3.8e-05,                3.8e-05
                     30,                0.55723,                0.95509,                0.83894,                0.98851,                0.98618,                0.99387,                0.84567,                0.54548,                0.75475,                0.83352,               2.15e-05,               2.15e-05,               2.15e-05
